Cancer	Life incident rate	Total_cells_tissue	Total_Stem_Cells	lscd	Division_year
AML	0.0041	3.00E+12	135000000	1.30E+11	12
BCC	0.3	1.80E+11	5820000000	3.55E+12	7.6
CLL	0.0052	3.00E+12	135000000	1.30E+11	12
Colorectal	0.048	30000000000	200000000	1.17E+12	73
Colorectal FAP	1	30000000000	200000000	1.17E+12	73
Colorectal Lynch	0.5	30000000000	200000000	1.17E+12	73
Duodenum adenocarcinoma	0.0003	680000000	4000000	7796000000	24
Duodenum adenocarcinoma with FAP	0.035	680000000	4000000	7796000000	24
Esophageal squamous cell carcinoma	0.001938	3240000000	846000	1203000000	17.4
Gallbladder non-papillary adenocarcinoma	0.0028	160000000	1600000	78400000	0.584
Glioblastoma	0.00219	86400000000	135000000	270000000	0
Head & neck squamous cell carcinoma	0.0138	16700000000	18500000	31860000000	21.5
Head & neck squamous cell carcinoma with HPV-16	0.07935	16700000000	18500000	31860000000	21.5
Hepatocellular carcinoma	0.0071	2.41E+11	3010000000	2.71E+11	0.9125
Hepatocellular carcinoma with HCV	0.071	2.41E+11	3010000000	2.71E+11	0.9125
Lung adenocarcinoma (nonsmokers)	0.0045	4.34E+11	1220000000	9272000000	0.07
Lung adenocarcinoma (smokers)	0.081	4.34E+11	1220000000	9272000000	0.07
Medulloblastoma	0.00011	85000000000	136000000	272000000	0
Melanoma	0.0203	3800000000	3800000000	7.64E+11	2.48
Osteosarcoma	0.00035	19000000000	4180000	29260000	0.067
Osteosarcoma of arms	0.00004	300000000	650000	4550000	0.067
Osteosarcoma of head	0.0000302	390000000	860000	6020000	0.067
Osteosarcoma legs	0.00022	720000000	1590000	11130000	0.067
Osteosarcoma pelvis	0.00003	200000000	450000	3150000	0.067
Ovarian germ cell	0.000411	11000000	11000000	22000000	0
Pancreatic ductal adenocarcinoma	0.013589	1.67E+11	4180000000	3.43E+11	1
Pancreatic endocrine	0.000194	2950000000	74000000	6068000000	1
Small intestine adenocarcinoma	0.0007	17000000000	100000000	2.92E+11	36
Testicular germ cell cancer	0.0037	21600000000	7200000	3348000000	5.8
Thyroid papillary/follicular carcinoma	0.01026	10000000000	65000000	585000000	0.087
Thyroid medullary carcinoma	0.000324	1000000000	6500000	58500000	0.087
